People	probability
0	0.000000
1	0.000000
2	0.002740
3	0.008204
4	0.016356
5	0.027136
6	0.040462
7	0.056236
8	0.074335
9	0.094624
10	0.116948
11	0.141141
12	0.167025
13	0.194410
14	0.223103
15	0.252901
16	0.283604
17	0.315008
18	0.346911
19	0.379119
20	0.411438
21	0.443688
22	0.475695
23	0.507297
24	0.538344
25	0.568700
26	0.598241
27	0.626859
28	0.654461
29	0.680969
30	0.706316
31	0.730455
32	0.753348
33	0.774972
34	0.795317
35	0.814383
36	0.832182
37	0.848734
38	0.864068
39	0.878220
40	0.891232
41	0.903152
42	0.914030
43	0.923923
44	0.932885
45	0.940976
46	0.948253
47	0.954774
48	0.960598
49	0.965780
50	0.970374
51	0.974432
52	0.978005
53	0.981138
54	0.983877
55	0.986262
56	0.988332
57	0.990122
58	0.991665
59	0.992989
60	0.994123
